dept,ctc
POLICE,79926
POLICE,77238
POLICE,74628
FINANCE,73932
INSPECTOR GEN,76008
POLICE,60918
GENERAL SERVICES,64152
POLICE,77238
HEALTH,54492
WATER MGMNT,73216
WATER MGMNT,74880
CITY COUNCIL,108086
STREETS & SAN,65894
STREETS & SAN,70408
PUBLIC LIBRARY,44280
FINANCE,67296
POLICE,77238
PUBLIC LIBRARY,88140
WATER MGMNT,84032
FIRE,81096
PUBLIC LIBRARY,76536
POLICE,16806
STREETS & SAN,65894
PUBLIC LIBRARY,48576
POLICE,154932
POLICE,98766
POLICE,81000
FAMILY & SUPPORT,50952
POLICE,74628
LAW,57192
POLICE,74628
INSPECTOR GEN,39360
POLICE,74628
DISABILITIES,84780
CULTURAL AFFAIRS,77280
FIRE,78354
POLICE,71040
FIRE,74628
POLICE,74628
PUBLIC LIBRARY,16130
AVIATION,67296
POLICE,129744
POLICE,89646
FAMILY & SUPPORT,77280
WATER MGMNT,70408
POLICE,14633
FAMILY & SUPPORT,66960
STREETS & SAN,67808
TRANSPORTN,81182
STREETS & SAN,70408
REVENUE,40596
POLICE,85278
AVIATION,38568
POLICE,74628
POLICE,77238
POLICE,82878
PUBLIC LIBRARY,11471
TRANSPORTN,96574
POLICE,79926
POLICE,85278
REVENUE,38748
STREETS & SAN,65894
FAMILY & SUPPORT,2756
POLICE,77238
OEMC,18886
DoIT,83100
PUBLIC LIBRARY,42264
GENERAL SERVICES,84802
POLICE,16806
POLICE,21268
AVIATION,42264
PROCUREMENT,55872
HEALTH,44280
OEMC,64596
FIRE,90834
POLICE,16047
STREETS & SAN,79040
FIRE,77238
POLICE,77238
POLICE,89646
TRANSPORTN,73848
FIRE,131406
OEMC,89440
AVIATION,70408
POLICE,105018
WATER MGMNT,73216
FIRE,77238
WATER MGMNT,84032
WATER MGMNT,84032
POLICE,82878
POLICE,77238
REVENUE,58548
REVENUE,48576
GENERAL SERVICES,95680
OEMC,96574
POLICE,79926
STREETS & SAN,65894
POLICE,79926
PUBLIC LIBRARY,53340
STREETS & SAN,65894
FIRE,71082
FIRE,103704
PUBLIC LIBRARY,73932
AVIATION,24752
FIRE,96366
AVIATION,70408
PUBLIC LIBRARY,35124
FIRE,67596
POLICE,43104
AVIATION,88872
POLICE,79926
PUBLIC LIBRARY,61308
POLICE,74628
POLICE,82878
WATER MGMNT,70408
POLICE,71040
FAMILY & SUPPORT,61308
POLICE,58548
POLICE,74628
AVIATION,38584
POLICE,77238
FIRE,81096
HEALTH,42264
STREETS & SAN,65894
PUBLIC LIBRARY,35124
PUBLIC LIBRARY,57264
PUBLIC LIBRARY,80808
POLICE,95694
POLICE,86508
TRANSPORTN,89773
STREETS & SAN,70408
POLICE,74628
POLICE,79926
FIRE,67596
IPRA,64152
POLICE,79926
POLICE,95694
OEMC,48924
FIRE,74628
OEMC,89364
WATER MGMNT,84802
HEALTH,67308
WATER MGMNT,81182
POLICE,67704
STREETS & SAN,80916
AVIATION,63516
FINANCE,102024
POLICE,71040
FIRE,98766
REVENUE,40596
STREETS & SAN,93808
OEMC,46656
POLICE,74628
POLICE,83562
POLICE,79926
POLICE,15319
POLICE,74628
POLICE,16047
POLICE,82878
FAMILY & SUPPORT,76980
STREETS & SAN,65894
OEMC,53628
STREETS & SAN,65894
POLICE,83916
POLICE,77238
LAW,25152
HEALTH,80256
HEALTH,64248
BOARD OF ELECTION,62340
STREETS & SAN,70408
POLICE,95694
POLICE,74628
POLICE,77238
FINANCE,10400
AVIATION,70408
POLICE,53628
POLICE,101958
CITY COUNCIL,70000
WATER MGMNT,73932
FIRE,83148
STREETS & SAN,65894
WATER MGMNT,40019
